Iteration,MSE
0,0.012809585769028322
1,0.003002701438702506
2,0.0021576196669731563
3,0.0017763013496954216
4,0.0015506807306430504
5,0.0013987987090231207
6,0.0012883762118140057
7,0.0012038074090335565
8,0.0011365033772613004
9,0.001081292033606515
10,0.001034844573566358
11,9.949044247665947E-4
12,9.598753470694006E-4
13,9.285860494580246E-4
14,9.001482848224311E-4
15,8.738676145320247E-4
16,8.491855364030275E-4
17,8.256413540292039E-4
18,8.028472936814895E-4
19,7.804732413010121E-4
20,7.582391100666427E-4
21,7.35913698991248E-4
22,7.133190988648209E-4
23,6.903392394866243E-4
24,6.66930089618691E-4
25,6.431276351461398E-4
26,6.190488598657841E-4
27,5.948816586548318E-4
28,5.708626375436259E-4
29,5.472463603353217E-4
30,5.242733975963204E-4
31,5.021450372097112E-4
32,4.810093721357954E-4
33,4.6095887923888854E-4
34,4.420362659198432E-4
35,4.242444262153585E-4
36,4.0755718249497775E-4
37,3.919288887793269E-4
38,3.773021370714798E-4
39,3.6361350901422133E-4
40,3.507976352058768E-4
41,3.387899172663632E-4
42,3.275282517709683E-4
43,3.169540390000049E-4
44,3.0701269631490093E-4
45,2.976538394836573E-4
46,2.8883124953804667E-4
47,2.805027077111034E-4
48,2.726297551120225E-4
49,2.6517741514195826E-4
50,2.581139034795024E-4
51,2.5141034131680114E-4
52,2.4504048127701154E-4
53,2.3898045124511337E-4
54,2.3320851857845922E-4
55,2.277048753869358E-4
56,2.2245144447061982E-4
57,2.1743170485494706E-4
58,2.126305355166746E-4
59,2.0803407574290623E-4
60,2.0362960053853837E-4
61,1.9940540954602518E-4
62,1.9535072803319572E-4
63,1.9145561861864756E-4
64,1.8771090252644906E-4
65,1.8410808928390215E-4
66,1.806393138929632E-4
67,1.772972806146762E-4
68,1.7407521260544957E-4
69,1.709668067336541E-4
70,1.6796619298520176E-4
71,1.6506789793785252E-4
72,1.622668118467919E-4
73,1.5955815893924877E-4
74,1.5693747056439824E-4
75,1.544005608872397E-4
76,1.5194350485228753E-4
77,1.4956261817541448E-4
78,1.4725443915057055E-4
79,1.4501571208296894E-4
80,1.4284337218205338E-4
81,1.4073453176660696E-4
82,1.3868646765102064E-4
83,1.3669660959640347E-4
84,1.347625297230289E-4
85,1.3288193279192926E-4
86,1.310526472733874E-4
87,1.292726171288352E-4
88,1.2753989424040725E-4
89,1.2585263142923298E-4
90,1.2420907600960385E-4
91,1.2260756383151357E-4
92,1.2104651376882876E-4
93,1.1952442261457871E-4
94,1.180398603486198E-4
95,1.165914657462883E-4
96,1.1517794229964642E-4
97,1.1379805442560582E-4
98,1.1245062393761355E-4
99,1.1113452675972477E-4
100,1.0984868986382548E-4
101,1.0859208841248295E-4
102,1.0736374309147936E-4
103,1.0616271761747059E-4
104,1.049881164074842E-4
105,1.0383908239811953E-4
106,1.0271479500333127E-4
107,1.0161446820062433E-4
108,1.0053734873633254E-4
109,9.94827144414194E-5
110,9.844987264993467E-5
111,9.743815871290448E-5
112,9.644693460099778E-5
113,9.547558758984317E-5
114,9.452352902235235E-5
115,9.359019314283779E-5
116,9.267503599811163E-5
117,9.177753440112687E-5
118,9.089718495304558E-5
119,9.003350311992983E-5
120,8.91860223605317E-5
121,8.835429330191718E-5
122,8.753788295989472E-5
123,8.673637400143119E-5
124,8.594936404645116E-5
125,8.517646500658197E-5
126,8.441730245859485E-5
127,8.367151505043356E-5
128,8.293875393787515E-5
129,8.221868225000002E-5
130,8.151097458176484E-5
131,8.08153165120968E-5
132,8.013140414602094E-5
133,7.945894367944247E-5
134,7.879765098528167E-5
135,7.814725121975799E-5
136,7.750747844768753E-5
137,7.687807528573208E-5
138,7.625879256260712E-5
139,7.564938899531925E-5
140,7.50496308805558E-5
141,7.445929180041243E-5
142,7.3878152341681E-5
143,7.330599982798655E-5
144,7.274262806408445E-5
145,7.218783709168363E-5
146,7.164143295619699E-5
147,7.110322748385101E-5
148,7.057303806862488E-5
149,7.005068746851662E-5
150,6.953600361066653E-5
151,6.902881940488973E-5
152,6.85289725652026E-5
153,6.803630543894211E-5
154,6.755066484310826E-5
155,6.707190190757715E-5
156,6.65998719248475E-5
157,6.613443420600851E-5
158,6.567545194263202E-5
159,6.522279207430497E-5
